Collection in Repository,Collection Number,Location in Collection,Object,Container Type,MastersName,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum,MasterFilePath,MasterFileSize,MasterSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 29",folder,03823_0040_0029.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2139,2500.jp2,Content/03823/image/2500.jp2,4825159 Bytes,4825159,bucket\03823_nccic\03823_0040\03823_0040_0029.tif,18832903 Bytes,18832903
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 13",folder,03823_0040_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2140,2027.jp2,Content/03823/image/2027.jp2,2528812 Bytes,2528812,bucket\03823_nccic\03823_0040\03823_0040_0013.tif,9956430 Bytes,9956430
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 49: Conference material, 1933-1949 and undated: Scan 60",folder,03823_0049_0060.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2141,2184.jp2,Content/03823/image/2184.jp2,7382824 Bytes,7382824,bucket\03823_nccic\03823_0049\03823_0049_0060.tif,22554314 Bytes,22554314
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 43: Financial and legal materials, 1948: Scan 3",folder,03823_0043_0003.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2142,2385.jp2,Content/03823/image/2385.jp2,2339257 Bytes,2339257,bucket\03823_nccic\03823_0043\03823_0043_0003.tif,7058862 Bytes,7058862
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 45",folder,03823_0048_0045.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2143,2012.jp2,Content/03823/image/2012.jp2,2635517 Bytes,2635517,bucket\03823_nccic\03823_0048\03823_0048_0045.tif,9276273 Bytes,9276273
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 54",folder,03823_0040_0054.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2144,2217.jp2,Content/03823/image/2217.jp2,4686539 Bytes,4686539,bucket\03823_nccic\03823_0040\03823_0040_0054.tif,18589315 Bytes,18589315
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 40: Financial and legal materials, 1948: Scan 56",folder,03823_0040_0056.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2145,2378.jp2,Content/03823/image/2378.jp2,2883375 Bytes,2883375,bucket\03823_nccic\03823_0040\03823_0040_0056.tif,10508124 Bytes,10508124
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 42: Financial and legal materials, 1948: Scan 30",folder,03823_0042_0030.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2146,2201.jp2,Content/03823/image/2201.jp2,4050501 Bytes,4050501,bucket\03823_nccic\03823_0042\03823_0042_0030.tif,12444101 Bytes,12444101
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 2. Financial and Legal Materials, 1928-1949.","Folder 45: Financial and legal materials, 1949: Scan 89",folder,03823_0045_0089.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2147,2426.jp2,Content/03823/image/2426.jp2,5628907 Bytes,5628907,bucket\03823_nccic\03823_0045\03823_0045_0089.tif,14511620 Bytes,14511620
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 3. Other Materials, 1922-1949.","Folder 48: Conference material, 1933-1949 and undated: Scan 32",folder,03823_0048_0032.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,2148,2552.jp2,Content/03823/image/2552.jp2,2134917 Bytes,2134917,bucket\03823_nccic\03823_0048\03823_0048_0032.tif,8435061 Bytes,8435061
