Collection in Repository,Collection Number,Location in Collection,Object,Container Type,filename,Usage Rights,Date created,Date modified,Object number,AccessName,AccessFilePath,AccessFileSize,AccessSizeNum
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 31",folder,03823_0022_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,224,940.jp2,Content/03823/image/940.jp2,6989603 Bytes,6989603
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 17",folder,03823_0022_0017.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,225,433.jp2,Content/03823/image/433.jp2,6369600 Bytes,6369600
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 16: Correspondence, 1947-1948: Scan 35",folder,03823_0016_0035.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,226,881.jp2,Content/03823/image/881.jp2,3904540 Bytes,3904540
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 12",folder,03823_0021_0012.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,227,255.jp2,Content/03823/image/255.jp2,7823161 Bytes,7823161
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 64",folder,03823_0007_0064.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,228,636.jp2,Content/03823/image/636.jp2,4828013 Bytes,4828013
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 47",folder,03823_0009_0047.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,229,686.jp2,Content/03823/image/686.jp2,4018862 Bytes,4018862
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 14: Correspondence, August-December 1946: Scan 3",folder,03823_0014_0003.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,230,300.jp2,Content/03823/image/300.jp2,9658577 Bytes,9658577
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 20: Correspondence, 1947-1948: Scan 14",folder,03823_0020_0014.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,231,779.jp2,Content/03823/image/779.jp2,8843857 Bytes,8843857
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 8: Correspondence, 1942: Scan 9",folder,03823_0008_0009.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,232,669.jp2,Content/03823/image/669.jp2,4935883 Bytes,4935883
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 22",folder,03823_0017_0022.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,233,108.jp2,Content/03823/image/108.jp2,5925518 Bytes,5925518
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 12: Correspondence, 1944-May 1946: Scan 14",folder,03823_0012_0014.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,234,207.jp2,Content/03823/image/207.jp2,4918092 Bytes,4918092
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 10",folder,03823_0017_0010.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,235,141.jp2,Content/03823/image/141.jp2,2388172 Bytes,2388172
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 14",folder,03823_0017_0014.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,236,459.jp2,Content/03823/image/459.jp2,5075194 Bytes,5075194
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 9: Correspondence, 1943: Scan 7",folder,03823_0009_0007.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,237,36.jp2,Content/03823/image/36.jp2,4850683 Bytes,4850683
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 18: Correspondence, 1947-1948: Scan 1",folder,03823_0018_0001.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,238,138.jp2,Content/03823/image/138.jp2,5298314 Bytes,5298314
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 12: Correspondence, 1944-May 1946: Scan 31",folder,03823_0012_0031.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,239,451.jp2,Content/03823/image/451.jp2,4197946 Bytes,4197946
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 16",folder,03823_0022_0016.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,240,127.jp2,Content/03823/image/127.jp2,12090248 Bytes,12090248
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 19: Correspondence, 1947-1948: Scan 14",folder,03823_0019_0014.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,241,227.jp2,Content/03823/image/227.jp2,7296909 Bytes,7296909
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 17: Correspondence, 1947-1948: Scan 3",folder,03823_0017_0003.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,242,162.jp2,Content/03823/image/162.jp2,5648757 Bytes,5648757
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 11: Correspondence, 1944-May 1946: Scan 15",folder,03823_0011_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,243,142.jp2,Content/03823/image/142.jp2,6776562 Bytes,6776562
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 40",folder,03823_0007_0040.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,244,100.jp2,Content/03823/image/100.jp2,5615978 Bytes,5615978
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 14: Correspondence, August-December 1946: Scan 13",folder,03823_0014_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,245,165.jp2,Content/03823/image/165.jp2,9933608 Bytes,9933608
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 8: Correspondence, 1942: Scan 25",folder,03823_0008_0025.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,246,286.jp2,Content/03823/image/286.jp2,5762449 Bytes,5762449
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 3: Correspondence, 1938-1939: Scan 4",folder,03823_0003_0004.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,247,414.jp2,Content/03823/image/414.jp2,4591376 Bytes,4591376
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 21: Correspondence, 1947-1948: Scan 23",folder,03823_0021_0023.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,248,264.jp2,Content/03823/image/264.jp2,11767900 Bytes,11767900
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 21",folder,03823_0022_0021.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,249,394.jp2,Content/03823/image/394.jp2,7141007 Bytes,7141007
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 14: Correspondence, August-December 1946: Scan 11",folder,03823_0014_0011.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,250,35.jp2,Content/03823/image/35.jp2,8480283 Bytes,8480283
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 3: Correspondence, 1938-1939: Scan 36",folder,03823_0003_0036.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,251,102.jp2,Content/03823/image/102.jp2,2896821 Bytes,2896821
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.3. Correspondence, 1946-1949.","Folder 22: Correspondence, 1947-1948: Scan 13",folder,03823_0022_0013.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,252,969.jp2,Content/03823/image/969.jp2,12526226 Bytes,12526226
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 33",folder,03823_0005_0033.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,253,622.jp2,Content/03823/image/622.jp2,4505381 Bytes,4505381
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 5: Correspondence, 1941: Scan 15",folder,03823_0005_0015.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,254,925.jp2,Content/03823/image/925.jp2,4706889 Bytes,4706889
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 67",folder,03823_0007_0067.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,255,17.jp2,Content/03823/image/17.jp2,5552527 Bytes,5552527
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.1. Correspondence, 1922-1941.","Folder 2: Correspondence, 1931-1937: Scan 25",folder,03823_0002_0025.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,256,232.jp2,Content/03823/image/232.jp2,6184674 Bytes,6184674
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 7: Correspondence, 1942: Scan 52",folder,03823_0007_0052.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,257,738.jp2,Content/03823/image/738.jp2,6465241 Bytes,6465241
"North Carolina Commission on Interracial Cooperation Records, 1922-1949",03823,"Series 1. Correspondence, 1922-1949. / Subseries 1.2. Correspondence, 1942-1946.","Folder 8: Correspondence, 1942: Scan 11",folder,03823_0008_0011.tif,"For copyright information or permissions questions, see our intellectual property statement ",2012-01-26,2012-01-26,258,18.jp2,Content/03823/image/18.jp2,3189328 Bytes,3189328
