Collection in Repository	Collection Number	Location in Collection	Object	Container Type	filename	Title	Alternative Title	Creator	Contributor	Creation Date	Date	Description	Subject (tgm)	Subject Name	Subject Topical	Subject Geographic	Subject Topical Other	Coordinates	geonamesid	Digital Collection	Repository	Host	Usage Rights	Copyright Holder	Additional Display	Transcription	Caption	Notes	Title Note	Contributor Note	Sponsor	Related Resource	Author Chief Source	Publisher	Place of Publication	Cataloging Agency	Is Part Of	Has Part Of	Form	Resource Type	Medium	Condition	Language	Physical Description of Analog Original	Creator Nationality/Culture	Style/Period	Volume/Issue	Scale	Projection	Map Type	Map Details	Current Location	path	Local Identifier	Creator Identifier	Search by Decade	Pagination	Sort Me	StreamingFile	duracloudSpace	OCLC number	Date created	Date modified
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 14	folder	03883_0008_0014.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 9: Reports and writings on social work: Scan 117	folder	03883_0009_0117.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 1: 1924-1939: Scan 45	folder	03883_0001_0045.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 5: 1950-1956: Scan 26	folder	03883_0005_0026.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 2: 1940-1945: Scan 159	folder	03883_0002_0159.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 8: Course outlines and reading lists, 1934-1945: Scan 61	folder	03883_0008_0061.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 3: 1946: Scan 50	folder	03883_0003_0050.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 5: 1950-1956: Scan 11	folder	03883_0005_0011.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 7: Undated: Scan 5	folder	03883_0007_0005.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
Roy M. Brown Papers, 1924-1956	03883	Roy M. Brown Papers, 1924-1956 and undated.	Folder 4: 1947-1949: Scan 43	folder	03883_0004_0043.tif																		For copyright information or permissions questions, see our intellectual property statement https://library.unc.edu/wilson/research/perm/																																							2012-02-03	2012-02-03
